epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3398,1.14437,3.54132,1.10543,0.0132,0.78328,0.17151,0.12599,0.96951,3.48829,0.93685,0.00019089,0.00019089,0.00019089
2,29.3729,1.14166,2.33243,1.09555,0.01184,0.7394,0.25789,0.18515,1.08986,3.25277,0.99098,0.000383131,0.000383131,0.000383131
3,42.5311,1.08833,1.71536,1.08416,0.94721,0.12456,0.39624,0.2846,1.01865,2.84509,0.98978,0.000567452,0.000567452,0.000567452
4,56.3071,1.06366,1.52043,1.06737,0.73179,0.27093,0.47395,0.3383,1.07935,2.47256,1.07054,0.000743855,0.000743855,0.000743855
5,67.8326,1.06324,1.44481,1.05806,0.79815,0.25338,0.44858,0.29839,1.14485,2.45671,1.13145,0.000837007,0.000837007,0.000837007
6,80.3536,1.03206,1.38604,1.0616,0.42741,0.38688,0.38349,0.25695,1.09817,2.08883,1.09288,0.000819009,0.000819009,0.000819009
7,94.1518,1.03627,1.30822,1.04799,0.49742,0.49692,0.48746,0.33353,1.08829,1.8153,1.08419,0.000801011,0.000801011,0.000801011
8,107.962,1.01987,1.28889,1.04517,0.56258,0.49817,0.54216,0.38896,1.04459,1.54687,1.03997,0.000783013,0.000783013,0.000783013
9,121.668,0.99344,1.22137,1.03653,0.63121,0.53064,0.58103,0.42866,1.00495,1.43948,1.02463,0.000765014,0.000765014,0.000765014
10,135.798,0.97647,1.16569,1.02511,0.67274,0.57168,0.62731,0.45597,0.97283,1.15442,1.02268,0.000747016,0.000747016,0.000747016
11,149.874,0.95269,1.12437,1.02311,0.67729,0.5972,0.65478,0.48103,0.9697,1.13303,1.03017,0.000729018,0.000729018,0.000729018
12,163.569,0.95285,1.10496,1.02069,0.66196,0.58182,0.62253,0.44597,0.99137,1.14751,1.02923,0.00071102,0.00071102,0.00071102
13,177.209,0.93034,1.06947,1.01873,0.59984,0.57314,0.59445,0.43094,0.97776,1.12448,1.01463,0.000693022,0.000693022,0.000693022
14,190.959,0.93191,1.04627,1.01206,0.64244,0.57586,0.6161,0.452,0.98473,1.21493,1.04094,0.000675023,0.000675023,0.000675023
15,202.337,0.92237,1.02496,1.00779,0.59161,0.57577,0.60995,0.44618,0.94646,1.10355,1.01213,0.000657025,0.000657025,0.000657025
