epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,213.589,0.90119,0.99298,0.99931,0.66127,0.54265,0.61419,0.4454,0.95874,1.13328,1.01561,0.000639027,0.000639027,0.000639027
17,224.832,0.88976,0.98132,0.99028,0.72163,0.61015,0.6879,0.50882,0.94206,0.9926,1.00974,0.000621029,0.000621029,0.000621029
18,236.119,0.88457,0.93855,0.9957,0.70447,0.62828,0.70002,0.52392,0.9441,1.01836,1.00386,0.000603031,0.000603031,0.000603031
19,247.946,0.88572,0.92793,0.97995,0.73245,0.63883,0.71244,0.53324,0.92033,1.03927,0.99254,0.000585032,0.000585032,0.000585032
20,259.221,0.85342,0.90014,0.97635,0.68765,0.63388,0.66702,0.49533,0.9471,1.04838,1.00544,0.000567034,0.000567034,0.000567034
21,270.312,0.85569,0.89133,0.97824,0.72325,0.63407,0.69275,0.52445,0.93818,1.03035,1.00129,0.000549036,0.000549036,0.000549036
22,281.523,0.8413,0.881,0.96748,0.61348,0.62622,0.64328,0.47495,0.93491,1.06466,0.99875,0.000531038,0.000531038,0.000531038
23,293.057,0.84659,0.86508,0.97889,0.68896,0.62277,0.69106,0.51974,0.90414,0.96427,0.99206,0.00051304,0.00051304,0.00051304
24,304.541,0.83116,0.84297,0.9664,0.79093,0.6275,0.72514,0.54543,0.92943,0.93098,0.99946,0.000495041,0.000495041,0.000495041
25,316.17,0.83339,0.82981,0.97149,0.70433,0.65655,0.71648,0.54122,0.89456,0.92786,0.99014,0.000477043,0.000477043,0.000477043
26,328.271,0.83454,0.81782,0.96589,0.73422,0.63356,0.70437,0.52963,0.89181,0.92958,0.98526,0.000459045,0.000459045,0.000459045
27,341.627,0.82592,0.82158,0.96955,0.71838,0.65846,0.71701,0.53819,0.91255,0.96047,0.98728,0.000441047,0.000441047,0.000441047
28,354.891,0.80867,0.80043,0.95744,0.76281,0.62266,0.72188,0.55681,0.88695,0.94838,0.9792,0.000423049,0.000423049,0.000423049
29,367.945,0.79725,0.7755,0.95621,0.78416,0.64991,0.74043,0.56373,0.88751,0.88545,0.98596,0.00040505,0.00040505,0.00040505
30,381.025,0.7971,0.77125,0.95599,0.76855,0.62886,0.72861,0.55973,0.87878,0.9008,0.98101,0.000387052,0.000387052,0.000387052
31,392.167,0.77275,0.73093,0.94691,0.75752,0.66791,0.73736,0.56586,0.89297,0.91414,0.98925,0.000369054,0.000369054,0.000369054
32,402.867,0.76266,0.73318,0.93766,0.75935,0.64439,0.73381,0.55929,0.89045,0.88781,0.99404,0.000351056,0.000351056,0.000351056
33,413.962,0.77145,0.73217,0.9452,0.7402,0.6749,0.73907,0.55276,0.90616,0.87393,0.99566,0.000333058,0.000333058,0.000333058
34,425.344,0.75454,0.70638,0.94034,0.76454,0.6593,0.73584,0.56207,0.8792,0.85597,0.98098,0.000315059,0.000315059,0.000315059
35,438.524,0.76305,0.70543,0.94042,0.78149,0.65957,0.74359,0.5767,0.87384,0.90535,0.97915,0.000297061,0.000297061,0.000297061
36,451.525,0.75158,0.69562,0.94186,0.68901,0.68907,0.71636,0.54983,0.86339,0.89585,0.9779,0.000279063,0.000279063,0.000279063
37,464.279,0.7401,0.68396,0.93066,0.73506,0.68116,0.7363,0.56405,0.86822,0.84728,0.98071,0.000261065,0.000261065,0.000261065
38,474.965,0.73517,0.6846,0.93476,0.75789,0.71286,0.76517,0.59504,0.85839,0.81683,0.97383,0.000243067,0.000243067,0.000243067
39,485.655,0.73852,0.66853,0.93391,0.75251,0.71417,0.7663,0.58839,0.86017,0.80865,0.97797,0.000225068,0.000225068,0.000225068
40,496.31,0.72684,0.6588,0.92762,0.77354,0.66092,0.75167,0.5784,0.85496,0.81467,0.97509,0.00020707,0.00020707,0.00020707
41,531.733,0.73714,0.70359,0.92445,0.71772,0.64616,0.69773,0.53585,0.87607,0.89941,0.98719,0.000189072,0.000189072,0.000189072
42,544.755,0.69759,0.62608,0.90837,0.76299,0.6829,0.74859,0.575,0.87311,0.83665,0.98604,0.000171074,0.000171074,0.000171074
43,556.671,0.70065,0.62266,0.91018,0.79794,0.65533,0.74984,0.58035,0.86194,0.86709,0.97846,0.000153076,0.000153076,0.000153076
44,569.743,0.68145,0.60441,0.8985,0.7579,0.70711,0.75769,0.58609,0.85452,0.83375,0.97644,0.000135077,0.000135077,0.000135077
45,580.914,0.67679,0.597,0.9016,0.78548,0.68749,0.75405,0.58565,0.85184,0.82357,0.97754,0.000117079,0.000117079,0.000117079
46,591.497,0.68026,0.58863,0.90094,0.7685,0.6954,0.75801,0.59291,0.84519,0.82528,0.97447,9.9081e-05,9.9081e-05,9.9081e-05
47,602.188,0.66867,0.58266,0.89145,0.77695,0.68369,0.75767,0.59152,0.84539,0.81069,0.97381,8.10828e-05,8.10828e-05,8.10828e-05
48,612.768,0.66537,0.57259,0.89095,0.73726,0.72711,0.763,0.5965,0.84313,0.8005,0.97027,6.30846e-05,6.30846e-05,6.30846e-05
49,623.208,0.64642,0.5614,0.89192,0.78247,0.69821,0.767,0.60012,0.84342,0.7957,0.97105,4.50864e-05,4.50864e-05,4.50864e-05
50,633.686,0.64629,0.55189,0.89225,0.78676,0.69079,0.76509,0.59856,0.84173,0.79951,0.97,2.70882e-05,2.70882e-05,2.70882e-05
